Date,Open,High,Low,Close,AdjClose,Volume
1999-07-22,100.777,100.777,100.777,100.777,100.777,20498000
1999-10-08,118.90499999999999,118.90499999999999,118.90499999999999,118.905,118.905,10624000
2000-01-06,116.69400000000002,116.69400000000002,116.69400000000002,116.694,116.694,14877200
2000-01-28,104.219,104.219,104.219,104.219,104.219,39943600
2000-02-23,108.009,108.009,108.009,108.009,108.009,29545600
2000-05-30,131.39,131.39,131.39,131.39,131.39,22261200
2000-05-31,129.468,129.468,129.468,129.468,129.468,12258400
2000-06-01,130.269,130.269,130.269,130.269,130.269,27747100
2000-06-02,128.506,128.506,128.506,128.506,128.506,29616500
2000-06-05,132.99300000000002,132.99300000000002,132.99300000000002,132.993,132.993,18480100
2000-07-18,133.794,133.794,133.794,133.794,133.794,15469100
2000-10-13,160.43,160.43,160.43,160.43,160.43,31549000
2000-11-24,177.35900000000004,177.35900000000004,177.35900000000004,177.359,177.359,24464700
2001-02-21,173.006,173.006,173.006,173.006,173.006,24597400
2001-02-22,172.845,172.845,172.845,172.845,172.845,24597400
2001-04-18,167.047,167.047,167.047,167.047,167.047,13400
2001-05-29,163.45100000000002,163.45100000000002,163.45100000000002,163.451,163.451,40631300
2001-07-04,165.086,165.086,165.086,165.086,165.086,24329700
2001-08-29,169.172,169.172,169.172,169.172,169.172,30909500
2001-10-03,171.137,171.137,171.137,171.137,171.137,41835700
2001-10-04,171.137,171.137,171.137,171.137,171.137,50443800
2001-10-11,163.238,163.238,163.238,163.238,163.238,48814300
2001-11-06,161.922,161.922,161.922,161.922,161.922,32893700
2001-11-29,156.985,156.985,156.985,156.985,156.985,38761600
2001-12-05,159.289,159.289,159.289,159.289,159.289,59355000
2001-12-10,151.719,151.719,151.719,151.719,151.719,36887500
2002-01-15,156.492,156.492,156.492,156.492,156.492,32847700
2002-04-04,163.074,229.7187729566095,163.074,163.074,163.074,29737800
2002-04-10,167.846,167.846,160.8418851529412,167.846,167.846,57768700
2002-04-11,170.808,275.30036994219654,164.71946820809248,170.808,170.808,81186100
2002-05-08,175.1,175.93540076335876,173.1678851145038,175.1,175.1,27212300
2002-06-12,168.41699999999997,303.08376785714285,167.08035714285714,168.417,168.417,50325900
2002-07-15,142.686,154.21449414519907,140.34688524590166,142.686,142.686,37222500
2002-07-31,146.195,210.63307776000002,142.68632,146.195,146.195,40361500
2002-08-05,138.342,147.03014492753624,137.0053623188406,138.342,138.342,39976200
2002-08-06,141.517,198.76004171900826,132.4946646989374,141.517,141.517,45623600
2002-08-14,146.863,152.27504356769057,137.67362002275314,146.863,146.863,21453000
2002-11-29,136.979,138.32854679802958,134.57005896551726,136.979,136.979,42376800
2003-01-07,134.112,134.64439933584904,130.4007245283019,134.112,134.112,52392300
2003-01-08,135.63,136.97955223880598,132.93089552238806,135.63,135.63,72302100
2003-01-10,126.01400000000001,132.46888580455155,125.50791967871487,126.014,126.014,113026200
2003-01-16,123.484,124.15877595628415,122.47183606557377,123.484,123.484,50187700
2003-01-21,126.18300000000002,127.86993850267382,124.49606149732622,126.183,126.183,54923200
2003-01-27,113.7,122.13471810089021,113.7,113.7,113.7,56805600
2003-01-28,113.362,116.39848214285713,112.85591964285715,113.362,113.362,56805600
2003-01-29,110.49400000000001,115.38610076335878,109.31314809160307,110.494,110.494,82903200
2003-01-30,111.50699999999999,112.35047201210287,109.31397276853252,111.507,111.507,80189100
2003-01-31,111.675,136.77589622356496,108.63851963746224,111.675,111.675,86749200
2003-02-06,117.41099999999999,118.25446982758619,113.58367131034481,117.411,117.411,43728400
2003-02-07,116.061,117.5502245755814,115.04884011627908,116.061,116.061,36442800
2003-02-12,115.04899999999999,117.41070967741935,114.7116129032258,115.049,115.049,23802000
2003-02-17,115.89300000000001,115.89300000000001,46.86260819213974,115.893,115.893,19167600
2003-02-18,113.86799999999998,115.38623999999999,112.51845333333331,113.868,113.868,31657200
2003-02-24,110.663,114.03687195121951,110.663,110.663,110.663,23639800
2003-02-27,108.63899999999998,109.14508229813663,106.78336490683229,108.639,108.639,20128500
2003-02-28,109.314,109.58795977777777,107.62705555555554,109.314,109.314,26016100
2003-03-04,107.289,110.15678773584906,107.289,107.289,107.289,13558700
2003-03-06,108.301,109.81923831775701,107.96361370716511,108.301,108.301,33063500
2003-03-07,110.326,110.326,108.30166972477063,110.326,110.326,24273400
2003-03-10,108.301,110.66270404984424,107.96361370716511,108.301,108.301,27794000
2003-03-11,111.33800000000001,113.36232727272727,108.63889696969697,111.338,111.338,25481400
2003-03-12,109.98799999999999,113.02447852760736,109.48192024539877,109.988,109.988,27863900
2003-03-13,116.061,116.061,109.81934738372094,116.061,116.061,36062100
2003-03-18,119.773,121.45994366197182,113.95304436619718,119.773,119.773,53884600
2003-03-19,126.18300000000002,127.45090297860965,117.57961363636366,126.183,126.183,40560800
2003-03-26,126.35199999999999,126.85808277703605,121.62856074766354,126.352,126.352,22709800
2003-03-27,121.62799999999999,125.84533703190013,121.62799999999999,121.628,121.628,14617400
2003-03-28,122.978,125.67710562414265,119.26672976680383,122.978,122.978,14731800
2003-04-02,122.64,122.64,118.08528198074278,122.64,122.64,34659800
2003-04-03,124.327,125.33916010854817,121.79659972862959,124.327,124.327,28298500
2003-04-04,126.52,127.19477333333333,122.13397333333333,126.52,126.52,17764400
2003-04-08,133.099,135.18944715842838,126.55167631432191,133.099,133.099,46178500
2003-04-10,132.087,134.11132183908046,130.5134271570881,132.087,132.087,46201400
2003-04-14,136.811,138.3292478421702,132.93103329223183,136.811,136.811,20643400
2003-04-16,132.032,142.40633683550917,132.032,132.032,132.032,29833400
2003-04-17,133.411,137.58017993281655,129.61895607235144,133.411,133.411,28265600
2003-04-24,130.998,137.89263157894734,130.998,130.998,130.998,28657700
2003-04-29,135.135,136.1691964285714,134.27316964285714,135.135,135.135,22310600
2003-05-06,140.133,140.133,140.133,140.133,140.133,18287400
2003-05-07,136.514,140.13368939393942,135.82453535353537,136.514,136.514,20457900
2003-05-08,134.618,136.8587605633803,134.618,134.618,134.618,16321600
2003-05-09,135.48,136.85893129770992,134.6181679389313,135.48,135.48,21475900
2003-05-12,137.376,137.376,134.790504391468,137.376,137.376,18647300
2003-05-13,135.652,137.89275730622617,135.13490216010163,135.652,135.652,17434600
2003-05-15,140.306,141.51256265356267,136.51394594594595,140.306,140.306,21373500
2003-05-20,145.477,213.73398104265405,141.68494549763034,145.477,145.477,25974300
2003-05-21,139.444,144.78734239802225,138.40980469715697,139.444,139.444,21372600
2003-05-29,143.236,145.1320240673887,142.02943922984358,143.236,143.236,16805800
